MolWt,LogP,TPSA,RotB,AroProp,logS
167.85,2.5954000000000006,0.0,0,0.0,-2.18
133.405,2.376500000000001,0.0,0,0.0,-2.0
167.85,2.5938,0.0,1,0.0,-1.74
133.405,2.0289,0.0,1,0.0,-1.48
187.37500000000003,2.9189,0.0,1,0.0,-3.04
98.96000000000001,1.81,0.0,0,0.0,-1.29
96.94399999999999,1.9352,0.0,0,0.0,-1.64
118.176,1.4054,18.46,4,0.0,-0.43
215.894,4.3002,0.0,0,0.6,-4.57
132.20599999999996,2.5654000000000003,0.0,0,0.6,-4.37
215.894,4.3002,0.0,0,0.6,-4.63
181.44899999999998,3.6468000000000007,0.0,0,0.6666666666666666,-4.0
120.195,2.611860000000001,0.0,0,0.6666666666666666,-3.2
393.69800000000004,4.7366,0.0,0,0.6,-6.98
215.894,4.3002,0.0,0,0.6,-5.56
134.22199999999998,2.9202800000000018,0.0,0,0.6,-4.59
314.802,3.974100000000001,0.0,0,0.6666666666666666,-4.5
181.449,3.6468000000000007,0.0,0,0.6666666666666666,-3.59
120.195,2.611860000000001,0.0,0,0.6666666666666666,-3.31
110.11199999999998,1.0977999999999999,40.46,0,0.75,0.62
235.90599999999998,3.2116000000000007,0.0,0,0.75,-3.5
187.862,1.7762,0.0,1,0.0,-1.68
147.00399999999996,2.9934000000000003,0.0,0,0.75,-3.05
98.96000000000001,1.464,0.0,1,0.0,-1.06
112.98700000000001,1.8525,0.0,1,0.0,-1.6
170.92000000000002,2.6495999999999995,0.0,1,0.0,-2.74
118.176,1.0594000000000001,18.46,5,0.0,-0.77
134.22199999999998,2.811400000000001,0.0,2,0.6,-3.28
168.10799999999995,1.503,86.28,2,0.5,-3.1
58.08,0.4051,12.53,0,0.0,-0.59
314.802,3.974100000000001,0.0,0,0.6666666666666666,-5.6
181.449,3.6468000000000007,0.0,0,0.6666666666666666,-4.48
120.19499999999998,2.611860000000001,0.0,0,0.6666666666666666,-3.4
213.10499999999996,1.4112,129.42000000000002,3,0.4,-2.89
110.11199999999998,1.0977999999999999,40.46,0,0.75,0.81
54.09199999999999,1.3584,0.0,1,0.0,-1.87
235.90599999999998,3.2116000000000007,0.0,0,0.75,-3.54
147.004,2.993400000000001,0.0,0,0.75,-3.04
112.98700000000001,1.8540999999999999,0.0,2,0.0,-1.62
132.232,0.49030000000000007,24.06,2,0.0,-1.46
114.094,1.9648,0.0,0,0.75,-2.0
